#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Agresividad,Resistencia,Movilidad,Especialista ofensivo,Especialista defensivo,Balanceado
11,Metapod,Bug,,205,50,20,55,25,25,30,1,False,0.21951219512195122,0.6341463414634146,0.14634146341463414,0.024390243902439025,0.14634146341463414,13.359349618234496
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False,0.34177215189873417,0.4810126582278481,0.17721518987341772,0.11392405063291139,0.0759493670886076,15.920810978785665
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,0.28205128205128205,0.46153846153846156,0.2564102564102564,0.07692307692307693,0.05128205128205128,10.70436048222094
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False,0.24390243902439024,0.5853658536585366,0.17073170731707318,0.0,0.12195121951219512,10.172129679778086
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False,0.34177215189873417,0.46835443037974683,0.189873417721519,0.11392405063291139,0.10126582278481013,18.123802642442953
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False,0.3333333333333333,0.37373737373737376,0.29292929292929293,0.2727272727272727,0.08080808080808081,50.22864388639879
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,0.3187250996015936,0.4581673306772908,0.22310756972111553,0.0398406374501992,0.0199203187250996,7.197607627229727
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,0.3151862464183381,0.4813753581661891,0.2034383954154728,0.02865329512893983,0.014326647564469915,7.4703116103383245
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,0.31315240083507306,0.4759916492693111,0.21085594989561587,0.020876826722338204,0.010438413361169102,10.605292179955356
18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False,0.37132987910189985,0.41968911917098445,0.20898100172711573,0.09499136442141623,0.0,22.662377045079214
19,Rattata,Normal,,253,30,56,35,25,35,72,1,False,0.3201581027667984,0.3952569169960474,0.2845849802371542,0.1225296442687747,0.0,16.46629554237652
20,Raticate,Normal,,413,55,81,60,50,70,97,1,False,0.3171912832929782,0.44794188861985473,0.23486682808716708,0.07506053268765134,0.024213075060532687,16.15979235290135
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,0.3473282442748092,0.38549618320610685,0.26717557251908397,0.11068702290076336,0.003816793893129771,15.712698332523567
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,0.3416289592760181,0.4321266968325792,0.22624434389140272,0.06561085972850679,0.00904977375565611,15.445243784270794
23,Ekans,Poison,,288,35,60,44,40,54,55,1,False,0.3472222222222222,0.4618055555555556,0.1909722222222222,0.06944444444444445,0.034722222222222224,8.925618559330589
24,Arbok,Poison,,438,60,85,69,65,79,80,1,False,0.3424657534246575,0.4748858447488584,0.182648401826484,0.045662100456621,0.0228310502283105,8.925618559330589
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False,0.328125,0.390625,0.28125,0.015625,0.03125,17.716909687891082
26,Raichu,Electric,,485,60,90,55,90,80,110,1,False,0.3711340206185567,0.4020618556701031,0.2268041237113402,0.0,0.05154639175257732,18.800856954464127
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False,0.31666666666666665,0.55,0.13333333333333333,0.18333333333333332,0.18333333333333332,23.27373340628157
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False,0.32222222222222224,0.5333333333333333,0.14444444444444443,0.12222222222222222,0.12222222222222222,23.27373340628157
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False,0.31636363636363635,0.5345454545454545,0.14909090909090908,0.025454545454545455,0.04363636363636364,5.983774357005413
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False,0.32054794520547947,0.5260273972602739,0.15342465753424658,0.019178082191780823,0.03287671232876712,5.983774357005413
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False,0.3306930693069307,0.5188118811881188,0.1504950495049505,0.033663366336633666,0.0039603960396039604,6.517071598672384
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False,0.3553113553113553,0.46153846153846156,0.18315018315018314,0.06227106227106227,0.0,6.370504951205464
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False,0.34794520547945207,0.473972602739726,0.1780821917808219,0.04657534246575343,0.005479452054794521,6.121455890735652
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False,0.3702970297029703,0.4613861386138614,0.16831683168316833,0.033663366336633666,0.0039603960396039604,8.80183061767393
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False,0.32507739938080493,0.56656346749226,0.10835913312693499,0.04643962848297214,0.05263157894736842,12.184917817622825
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,False,0.3416149068322981,0.5341614906832298,0.12422360248447205,0.051759834368530024,0.035196687370600416,13.524668819112232
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False,0.30434782608695654,0.4782608695652174,0.21739130434782608,0.030100334448160536,0.08361204013377926,11.363929289153857
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False,0.3108910891089109,0.4910891089108911,0.19801980198019803,0.009900990099009901,0.04950495049504951,11.451588924201257
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,0.3333333333333333,0.5925925925925926,0.07407407407407407,0.0,0.018518518518518517,33.04037933599835
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,0.3563218390804598,0.5402298850574713,0.10344827586206896,0.034482758620689655,0.011494252873563218,33.509948771471834
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,0.30612244897959184,0.46938775510204084,0.22448979591836735,0.061224489795918366,0.02040816326530612,7.8616509433805035
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False,0.31868131868131866,0.4835164835164835,0.1978021978021978,0.03296703296703297,0.01098901098901099,7.861650943380503
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,0.390625,0.515625,0.09375,0.078125,0.03125,14.337208778404378
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False,0.379746835443038,0.5189873417721519,0.10126582278481013,0.05063291139240506,0.012658227848101266,13.969212178533509
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False,0.3877551020408163,0.5102040816326531,0.10204081632653061,0.061224489795918366,0.01020408163265306,17.950549357115012
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,0.40350877192982454,0.5087719298245614,0.08771929824561403,0.08771929824561403,0.0,14.648663192705788
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False,0.38271604938271603,0.5432098765432098,0.07407407407407407,0.08641975308641975,0.0,20.766559657295186
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,0.3114754098360656,0.5409836065573771,0.14754098360655737,0.04918032786885246,0.01639344262295082,6.718548123582124
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False,0.34444444444444444,0.45555555555555555,0.2,0.05555555555555555,0.03333333333333333,11.547005383792516
50,Diglett,Ground,,265,10,55,25,35,45,95,1,False,0.33962264150943394,0.3018867924528302,0.3584905660377358,0.07547169811320754,0.07547169811320754,26.83540364684103
51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False,0.32098765432098764,0.38271604938271603,0.2962962962962963,0.07407407407407407,0.04938271604938271,27.651100038395096
52,Meowth,Normal,,290,40,45,35,40,40,90,1,False,0.29310344827586204,0.39655172413793105,0.3103448275862069,0.017241379310344827,0.017241379310344827,18.856180831641264
53,Persian,Normal,,440,65,70,60,65,65,115,1,False,0.3068181818181818,0.4318181818181818,0.26136363636363635,0.011363636363636364,0.011363636363636364,18.856180831641268
54,Psyduck,Water,,320,50,52,48,65,50,55,1,False,0.365625,0.4625,0.171875,0.040625,0.00625,5.647024782032472
55,Golduck,Water,,500,80,82,78,95,80,85,1,False,0.354,0.476,0.17,0.026,0.004,5.647024782032472
56,Mankey,Fighting,,305,40,80,35,35,45,70,1,False,0.3770491803278688,0.39344262295081966,0.22950819672131148,0.14754098360655737,0.03278688524590164,17.658016750347578
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,False,0.3626373626373626,0.42857142857142855,0.2087912087912088,0.0989010989010989,0.02197802197802198,17.658016750347578
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False,0.4,0.42857142857142855,0.17142857142857143,0.0,0.014285714285714285,9.428090415820632
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False,0.3783783783783784,0.45045045045045046,0.17117117117117117,0.018018018018018018,0.0,10.70436048222094
60,Poliwag,Water,,300,40,50,40,40,40,90,1,False,0.3,0.4,0.3,0.03333333333333333,0.0,18.257418583505537
61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False,0.2987012987012987,0.4675324675324675,0.23376623376623376,0.03896103896103896,0.03896103896103896,13.359349618234496
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,0.3235294117647059,0.5392156862745098,0.13725490196078433,0.049019607843137254,0.00980392156862745,10.801234497346433
63,Abra,Psychic,,310,25,20,15,105,55,90,1,False,0.4032258064516129,0.3064516129032258,0.2903225806451613,0.27419354838709675,0.12903225806451613,35.079275299748645
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False,0.3875,0.35,0.2625,0.2125,0.1,35.079275299748645
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False,0.37,0.39,0.24,0.17,0.1,35.433819375782164
65,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False,0.3813559322033898,0.3644067796610169,0.2542372881355932,0.211864406779661,0.05084745762711865,48.102898965539374
66,Machop,Fighting,,305,70,80,50,35,35,35,1,False,0.3770491803278688,0.5081967213114754,0.11475409836065574,0.14754098360655737,0.04918032786885246,18.123802642442953
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,False,0.37037037037037035,0.5185185185185185,0.1111111111111111,0.12345679012345678,0.024691358024691357,18.65252440466616
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False,0.38613861386138615,0.504950495049505,0.10891089108910891,0.12871287128712872,0.009900990099009901,23.702437755546487
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False,0.48333333333333334,0.38333333333333336,0.13333333333333333,0.016666666666666666,0.016666666666666666,17.07825127659933
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False,0.44871794871794873,0.41025641025641024,0.14102564102564102,0.01282051282051282,0.01282051282051282,17.07825127659933
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False,0.41836734693877553,0.4387755102040816,0.14285714285714285,0.01020408163265306,0.01020408163265306,15.456030825826174
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,0.26865671641791045,0.5223880597014925,0.208955223880597,0.029850746268656716,0.19402985074626866,22.806553639006683
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,0.2912621359223301,0.5145631067961165,0.1941747572815534,0.019417475728155338,0.10679611650485436,18.800856954464127
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False,0.36666666666666664,0.5666666666666667,0.06666666666666667,0.16666666666666666,0.23333333333333334,29.43920288775949
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False,0.358974358974359,0.5512820512820513,0.08974358974358974,0.1282051282051282,0.1794871794871795,29.43920288775949
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False,0.35353535353535354,0.5555555555555556,0.09090909090909091,0.13131313131313133,0.13131313131313133,31.983068437325812
77,Ponyta,Fire,,410,50,85,55,65,65,90,1,False,0.36585365853658536,0.4146341463414634,0.21951219512195122,0.04878048780487805,0.024390243902439025,14.624940645653536
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False,0.36,0.43,0.21,0.04,0.02,14.624940645653536
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,0.3333333333333333,0.6190476190476191,0.047619047619047616,0.07936507936507936,0.07936507936507936,23.935677693908453
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,0.35714285714285715,0.5816326530612245,0.061224489795918366,0.05102040816326531,0.061224489795918366,25.92724864350674
80,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False,0.3474576271186441,0.6016949152542372,0.05084745762711865,0.09322033898305085,0.1694915254237288,46.96334267868457
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,0.4,0.46153846153846156,0.13846153846153847,0.18461538461538463,0.046153846153846156,23.169064624096407
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False,0.3870967741935484,0.46236559139784944,0.15053763440860216,0.12903225806451613,0.053763440860215055,23.40761984198023
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False,0.3494318181818182,0.48011363636363635,0.17045454545454544,0.019886363636363636,0.019886363636363636,4.307615994440028
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,0.3870967741935484,0.3709677419354839,0.24193548387096775,0.16129032258064516,0.03225806451612903,20.548046676563256
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False,0.3695652173913043,0.41304347826086957,0.21739130434782608,0.10869565217391304,0.021739130434782608,20.548046676563256
86,Seel,Water,,325,65,45,55,45,70,45,1,False,0.27692307692307694,0.5846153846153846,0.13846153846153847,0.0,0.046153846153846156,10.172129679778086
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,0.29473684210526313,0.5578947368421052,0.14736842105263157,0.0,0.031578947368421054,10.172129679778086
88,Grimer,Poison,,325,80,80,50,40,50,25,1,False,0.36923076923076925,0.5538461538461539,0.07692307692307693,0.12307692307692308,0.0,20.08661798865658
89,Muk,Poison,,500,105,105,75,65,100,50,1,False,0.34,0.56,0.1,0.08,0.05,21.343747458109497
90,Shellder,Water,,305,30,65,100,45,25,40,1,False,0.36065573770491804,0.5081967213114754,0.13114754098360656,0.06557377049180328,0.2459016393442623,25.39958442354695
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,0.34285714285714286,0.5238095238095238,0.13333333333333333,0.01904761904761905,0.2571428571428571,44.97684589504545
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,0.43548387096774194,0.3064516129032258,0.25806451612903225,0.20967741935483872,0.016129032258064516,27.78888666755511
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False,0.4074074074074074,0.35802469135802467,0.2345679012345679,0.16049382716049382,0.024691358024691357,27.348065135703234
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False,0.39,0.39,0.22,0.13,0.03,27.028791233711427
94,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,False,0.39166666666666666,0.39166666666666666,0.21666666666666667,0.175,0.025,38.83726732577014
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,0.19480519480519481,0.6233766233766234,0.18181818181818182,0.03896103896103896,0.2987012987012987,44.66697761085799
96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False,0.2774390243902439,0.5945121951219512,0.12804878048780488,0.01524390243902439,0.13719512195121952,16.88852338785787
97,Hypno,Psychic,,483,85,73,70,73,115,67,1,False,0.3022774327122153,0.5590062111801242,0.13871635610766045,0.0,0.09316770186335403,16.408839081421938
98,Krabby,Water,,325,30,105,90,25,25,50,1,False,0.4,0.4461538461538462,0.15384615384615385,0.24615384615384617,0.2,32.06980234148976
99,Kingler,Water,,475,55,130,115,50,50,75,1,False,0.37894736842105264,0.4631578947368421,0.15789473684210525,0.16842105263157894,0.1368421052631579,32.06980234148976
100,Voltorb,Electric,,330,40,30,50,55,55,100,1,False,0.25757575757575757,0.4393939393939394,0.30303030303030304,0.07575757575757576,0.015151515151515152,21.9848432637882
101,Electrode,Electric,,480,60,50,70,80,80,140,1,False,0.2708333333333333,0.4375,0.2916666666666667,0.0625,0.020833333333333332,28.867513459481287
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,0.3076923076923077,0.5692307692307692,0.12307692307692308,0.06153846153846154,0.1076923076923077,14.264368973853074
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False,0.4230769230769231,0.47115384615384615,0.10576923076923077,0.057692307692307696,0.038461538461538464,22.66911751455907
104,Cubone,Ground,,320,50,50,95,40,50,35,1,False,0.28125,0.609375,0.109375,0.03125,0.140625,19.507833184532707
105,Marowak,Ground,,425,60,80,110,50,80,45,1,False,0.3058823529411765,0.5882352941176471,0.10588235294117647,0.07058823529411765,0.07058823529411765,22.06367049145621
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False,0.34065934065934067,0.46813186813186813,0.1912087912087912,0.18681318681318682,0.12527472527472527,31.88216150486385
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False,0.3076923076923077,0.5252747252747253,0.16703296703296702,0.15384615384615385,0.06813186813186813,26.965512954306817
108,Lickitung,Normal,,385,90,55,75,60,75,30,1,False,0.2987012987012987,0.6233766233766234,0.07792207792207792,0.012987012987012988,0.0,19.021187017522212
109,Koffing,Poison,,340,40,65,95,60,45,35,1,False,0.36764705882352944,0.5294117647058824,0.10294117647058823,0.014705882352941176,0.14705882352941177,20.13840995599095
110,Weezing,Poison,,490,65,90,120,85,70,60,1,False,0.35714285714285715,0.5204081632653061,0.12244897959183673,0.01020408163265306,0.10204081632653061,20.138409955990955
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,0.3333333333333333,0.5942028985507246,0.07246376811594203,0.15942028985507245,0.18840579710144928,29.545163168726393
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False,0.36082474226804123,0.5567010309278351,0.08247422680412371,0.17525773195876287,0.15463917525773196,38.23356582318154
113,Chansey,Normal,,450,250,5,5,35,105,50,1,False,0.08888888888888889,0.8,0.1111111111111111,0.06666666666666667,0.2222222222222222,85.19585279421372
114,Tangela,Grass,,435,65,55,115,100,40,60,1,False,0.3563218390804598,0.5057471264367817,0.13793103448275862,0.10344827586206896,0.1724137931034483,26.25991876098122
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False,0.2755102040816326,0.5408163265306123,0.1836734693877551,0.11224489795918367,0.0,20.548046676563256
115,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False,0.3135593220338983,0.5169491525423728,0.1694915254237288,0.11016949152542373,0.0,19.293061504650375
116,Horsea,Water,,295,30,40,70,70,25,60,1,False,0.3728813559322034,0.423728813559322,0.2033898305084746,0.1016949152542373,0.15254237288135594,18.352262954621033
117,Seadra,Water,,440,55,65,95,95,45,85,1,False,0.36363636363636365,0.4431818181818182,0.19318181818181818,0.06818181818181818,0.11363636363636363,19.50783318453271
118,Goldeen,Water,,320,45,67,60,35,50,63,1,False,0.31875,0.484375,0.196875,0.1,0.03125,11.115554667022044
119,Seaking,Water,,450,80,92,65,65,80,68,1,False,0.3488888888888889,0.5,0.1511111111111111,0.06,0.03333333333333333,9.899494936611665
120,Staryu,Water,,340,30,45,55,70,55,85,1,False,0.3382352941176471,0.4117647058823529,0.25,0.07352941176470588,0.0,17.480147469502526
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,0.33653846153846156,0.4423076923076923,0.22115384615384615,0.04807692307692308,0.0,17.480147469502526
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,0.31521739130434784,0.4891304347826087,0.1956521739130435,0.11956521739130435,0.11956521739130435,29.1070819942883
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,0.33,0.46,0.21,0.11,0.0,19.075871903765993
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,0.3626373626373626,0.42857142857142855,0.2087912087912088,0.14285714285714285,0.13186813186813187,28.050054466178057
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False,0.363265306122449,0.42244897959183675,0.21428571428571427,0.024489795918367346,0.05714285714285714,16.438437341250605
126,Magmar,Fire,,495,65,95,57,100,85,93,1,False,0.3939393939393939,0.41818181818181815,0.18787878787878787,0.010101010101010102,0.05656565656565657,15.997395621371206
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False,0.36,0.47,0.17,0.14,0.06,23.570226039551585
127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,False,0.36666666666666664,0.4583333333333333,0.175,0.15,0.05,31.622776601683793
128,Tauros,Normal,,490,75,100,95,40,70,110,1,False,0.2857142857142857,0.4897959183673469,0.22448979591836735,0.12244897959183673,0.05102040816326531,23.21398046197353
129,Magikarp,Water,,200,20,10,55,15,20,80,1,False,0.125,0.475,0.4,0.025,0.175,25.440562537456245
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,0.3425925925925926,0.5074074074074074,0.15,0.12037037037037036,0.03888888888888889,20.215505600075073
130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False,0.3515625,0.521875,0.1265625,0.1328125,0.0328125,28.940552094864323
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,0.3177570093457944,0.5700934579439252,0.11214953271028037,0.0,0.028037383177570093,21.09831483528694
132,Ditto,Normal,,288,48,48,48,48,48,48,1,False,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,0.0
133,Eevee,Normal,,325,55,55,50,45,65,55,1,False,0.3076923076923077,0.5230769230769231,0.16923076923076924,0.03076923076923077,0.046153846153846156,6.066758241067098
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False,0.3333333333333333,0.5428571428571428,0.12380952380952381,0.08571428571428572,0.06666666666666667,26.25991876098122
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False,0.3333333333333333,0.41904761904761906,0.24761904761904763,0.08571428571428572,0.06666666666666667,26.25991876098122
136,Flareon,Fire,,525,65,130,60,95,110,65,1,False,0.42857142857142855,0.44761904761904764,0.12380952380952381,0.06666666666666667,0.09523809523809523,26.25991876098122
137,Porygon,Normal,,395,65,60,70,85,75,40,1,False,0.3670886075949367,0.5316455696202531,0.10126582278481013,0.06329113924050633,0.012658227848101266,13.969212178533509
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,0.36619718309859156,0.5352112676056338,0.09859154929577464,0.14084507042253522,0.1267605633802817,26.36548669926062
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,0.35353535353535354,0.5353535353535354,0.1111111111111111,0.1111111111111111,0.1111111111111111,27.195281453467867
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,0.38028169014084506,0.4647887323943662,0.15492957746478872,0.07042253521126761,0.1267605633802817,20.29299276980987
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,0.36363636363636365,0.47474747474747475,0.16161616161616163,0.10101010101010101,0.0707070707070707,20.56493779875511
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,0.32038834951456313,0.42718446601941745,0.2524271844660194,0.08737864077669903,0.019417475728155338,24.395468613840745
142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False,0.3333333333333333,0.42276422764227645,0.24390243902439024,0.10569105691056911,0.016260162601626018,29.545163168726393
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False,0.32407407407407407,0.6203703703703703,0.05555555555555555,0.08333333333333333,0.08333333333333333,41.93248541803041
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True,0.3103448275862069,0.5431034482758621,0.14655172413793102,0.017241379310344827,0.04310344827586207,13.743685418725535
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True,0.3706896551724138,0.45689655172413796,0.1724137931034483,0.0603448275862069,0.008620689655172414,13.43709624716425
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,0.3879310344827586,0.45689655172413796,0.15517241379310345,0.04310344827586207,0.008620689655172414,13.43709624716425
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,False,0.38,0.4533333333333333,0.16666666666666666,0.04666666666666667,0.016666666666666666,7.094598884597588
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False,0.36666666666666664,0.4666666666666667,0.16666666666666666,0.03333333333333333,0.011904761904761904,7.094598884597588
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,0.39,0.4766666666666667,0.13333333333333333,0.056666666666666664,0.008333333333333333,16.64331697709324
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True,0.38823529411764707,0.42058823529411765,0.19117647058823528,0.06470588235294118,0.0,22.6764684689266
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True,0.441025641025641,0.3923076923076923,0.16666666666666666,0.046153846153846156,0.0,33.04542328371661
150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True,0.441025641025641,0.37948717948717947,0.1794871794871795,0.05641025641025641,0.0641025641025641,38.453435043785966
151,Mew,Psychic,,600,100,100,100,100,100,100,1,False,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,0.0
152,Chikorita,Grass,,318,45,49,65,49,65,45,2,False,0.3081761006289308,0.550314465408805,0.14150943396226415,0.0,0.0,8.640987597877148
153,Bayleef,Grass,,405,60,62,80,63,80,60,2,False,0.30864197530864196,0.5432098765432098,0.14814814814814814,0.0024691358024691358,0.0,8.902246907382429
